episode,reward,steps,goal,collision,epsilon,avg_loss,difficulty
120,32.9000,214,1,0,0.74054,0.200837,easy
121,28.2000,111,1,0,0.73869,0.342252,easy
122,-5.2500,52,0,1,0.73684,0.271206,easy
123,27.0000,171,1,0,0.73500,0.223183,easy
124,26.6500,92,1,0,0.73316,0.218333,easy
125,28.3500,84,1,0,0.73133,0.219729,easy
126,30.6500,168,1,0,0.72950,0.191761,easy
127,-0.1000,128,0,1,0.72768,0.161876,easy
128,30.4000,97,1,0,0.72586,0.197731,easy
129,28.0000,287,1,0,0.72404,0.188147,easy
130,31.7500,114,1,0,0.72223,0.197982,easy
131,32.8000,109,1,0,0.72043,0.187746,easy
132,26.7000,78,1,0,0.71863,0.184729,easy
133,-6.7500,14,0,1,0.71683,0.172939,easy
134,26.1000,100,1,0,0.71504,0.195354,easy
135,-4.7000,33,0,1,0.71325,0.201804,easy
136,31.9000,160,1,0,0.71147,0.252193,easy
137,31.4500,134,1,0,0.70969,0.212933,easy
138,28.3000,106,1,0,0.70791,0.207632,easy
139,28.4500,147,1,0,0.70614,0.209210,easy
140,31.4000,105,1,0,0.70438,0.173858,easy
141,-3.2500,60,0,1,0.70262,0.226519,easy
142,33.0500,228,1,0,0.70086,0.174979,easy
143,24.6000,99,1,0,0.69911,0.191913,easy
144,28.8500,143,1,0,0.69736,0.189161,easy
145,33.0500,150,1,0,0.69562,0.197100,easy
146,28.1500,80,1,0,0.69388,0.203124,easy
147,30.5500,52,1,0,0.69214,0.186313,easy
148,30.7500,123,1,0,0.69041,0.180568,easy
149,24.0000,151,1,0,0.68869,0.181746,easy
150,-8.0500,55,0,1,0.68697,0.163011,easy
151,33.6000,79,1,0,0.68525,0.326237,easy
152,34.3000,117,1,0,0.68354,0.243845,easy
153,-5.8000,29,0,1,0.68183,0.222269,easy
154,28.6500,82,1,0,0.68012,0.217750,easy
155,31.7500,84,1,0,0.67842,0.225683,easy
156,-7.6000,13,0,1,0.67673,0.197848,easy
157,30.7500,146,1,0,0.67503,0.239818,easy
158,28.2500,110,1,0,0.67335,0.225510,easy
159,-1.9500,65,0,1,0.67166,0.231105,easy
160,28.3500,78,1,0,0.66998,0.230487,easy
161,26.8000,111,1,0,0.66831,0.206198,easy
162,32.4000,139,1,0,0.66664,0.213175,easy
163,-4.2500,68,0,1,0.66497,0.198917,easy
164,-0.6500,78,0,1,0.66331,0.202899,easy
165,27.8500,60,1,0,0.66165,0.200230,easy
166,30.2000,71,1,0,0.66000,0.225611,easy
167,30.6500,95,1,0,0.65835,0.223190,easy
168,28.9500,69,1,0,0.65670,0.201631,easy
169,26.1000,49,1,0,0.65506,0.204234,easy
170,30.1000,77,1,0,0.65342,0.214543,easy
171,30.2500,108,1,0,0.65179,0.192129,easy
172,29.2500,92,1,0,0.65016,0.207280,easy
173,26.4500,58,1,0,0.64853,0.176383,easy
174,26.7000,85,1,0,0.64691,0.196434,easy
175,27.0000,53,1,0,0.64529,0.188297,easy
176,28.5000,109,1,0,0.64368,0.189953,easy
177,30.0500,107,1,0,0.64207,0.173315,easy
178,-3.9000,37,0,1,0.64047,0.179985,easy
179,28.0500,143,1,0,0.63887,0.169499,easy
180,31.4000,103,1,0,0.63727,0.176171,easy
181,35.8000,137,1,0,0.63568,0.258416,easy
182,-2.7000,61,0,1,0.63409,0.201050,easy
183,-0.6500,110,0,1,0.63250,0.209146,easy
184,-6.2000,87,0,1,0.63092,0.225445,easy
185,31.4000,143,1,0,0.62934,0.187190,easy
186,27.4000,98,1,0,0.62777,0.185047,easy
187,30.4500,110,1,0,0.62620,0.176243,easy
188,28.3500,69,1,0,0.62463,0.176905,easy
189,34.9500,142,1,0,0.62307,0.167802,easy
190,30.5500,68,1,0,0.62152,0.173248,easy
191,28.8500,50,1,0,0.61996,0.164790,easy
192,30.6000,91,1,0,0.61841,0.191041,easy
193,-4.0000,41,0,1,0.61687,0.162069,easy
194,29.1500,113,1,0,0.61532,0.164158,easy
195,27.2000,59,1,0,0.61379,0.174533,easy
196,28.5500,112,1,0,0.61225,0.237401,easy
197,29.3500,83,1,0,0.61072,0.194835,easy
198,32.2000,102,1,0,0.60919,0.178218,easy
199,27.6500,42,1,0,0.60767,0.165896,easy
200,27.3000,67,1,0,0.60615,0.164247,easy
201,31.9000,109,1,0,0.60464,0.203023,easy
202,26.7000,143,1,0,0.60312,0.164930,easy
203,27.8500,68,1,0,0.60162,0.199006,easy
204,27.0500,112,1,0,0.60011,0.173427,easy
205,29.8000,114,1,0,0.59861,0.161044,easy
206,-0.7500,56,0,1,0.59712,0.151048,easy
207,29.9000,131,1,0,0.59562,0.170750,easy
208,33.7500,125,1,0,0.59413,0.151413,easy
209,30.4500,70,1,0,0.59265,0.187179,easy
210,29.5500,68,1,0,0.59117,0.139028,easy
211,32.6500,131,1,0,0.58969,0.252302,easy
212,30.6000,87,1,0,0.58821,0.189373,easy
213,28.3500,80,1,0,0.58674,0.231424,easy
214,29.7000,81,1,0,0.58528,0.172995,easy
215,30.2500,91,1,0,0.58381,0.196619,easy
216,32.4500,132,1,0,0.58235,0.173241,easy
217,30.1000,77,1,0,0.58090,0.166147,easy
218,29.8000,88,1,0,0.57945,0.166902,easy
219,25.4500,113,1,0,0.57800,0.180748,easy
220,27.9000,109,1,0,0.57655,0.165942,easy
221,0.8000,99,0,1,0.57511,0.203470,easy
222,28.6500,98,1,0,0.57367,0.140238,easy
223,27.0500,63,1,0,0.57224,0.184586,easy
224,28.7000,113,1,0,0.57081,0.188495,easy
225,30.2500,141,1,0,0.56938,0.184282,easy
226,30.0000,73,1,0,0.56796,0.232645,easy
227,29.7000,89,1,0,0.56654,0.187182,easy
228,29.7000,63,1,0,0.56512,0.176746,easy
229,35.2000,146,1,0,0.56371,0.157630,easy
230,27.7000,63,1,0,0.56230,0.183786,easy
231,27.7500,92,1,0,0.56089,0.157574,easy
232,34.1000,109,1,0,0.55949,0.159974,easy
233,28.1000,63,1,0,0.55809,0.146068,easy
234,30.8000,125,1,0,0.55670,0.148982,easy
235,30.1500,131,1,0,0.55531,0.162421,easy
236,29.6000,65,1,0,0.55392,0.158396,easy
237,30.5500,126,1,0,0.55253,0.166270,easy
238,33.0500,97,1,0,0.55115,0.184678,easy
239,29.8000,72,1,0,0.54977,0.147508,easy
240,31.0000,107,1,0,0.54840,0.162026,easy
241,28.6000,92,1,0,0.54703,0.232431,easy
242,28.0500,94,1,0,0.54566,0.204781,easy
243,29.3500,78,1,0,0.54430,0.167030,easy
244,31.9500,106,1,0,0.54294,0.172453,easy
245,29.5500,171,1,0,0.54158,0.146577,easy
246,30.2000,142,1,0,0.54022,0.166676,easy
247,34.0000,115,1,0,0.53887,0.144258,easy
248,26.8500,88,1,0,0.53753,0.160620,easy
249,29.3000,120,1,0,0.53618,0.172672,easy
250,26.6000,69,1,0,0.53484,0.170827,easy
251,30.6000,123,1,0,0.53351,0.158696,easy
252,32.4000,79,1,0,0.53217,0.158927,easy
253,30.8500,50,1,0,0.53084,0.177516,easy
254,33.9000,101,1,0,0.52951,0.153291,easy
255,27.7500,87,1,0,0.52819,0.127807,easy
256,29.1000,75,1,0,0.52687,0.274789,easy
257,-4.4000,65,0,1,0.52555,0.191009,easy
258,30.7500,148,1,0,0.52424,0.179631,easy
259,33.1000,71,1,0,0.52293,0.155899,easy
260,28.6500,58,1,0,0.52162,0.156418,easy
261,27.4000,328,1,0,0.52032,0.179494,easy
262,29.5000,107,1,0,0.51902,0.153787,easy
263,32.1500,72,1,0,0.51772,0.175685,easy
264,22.3500,330,1,0,0.51642,0.179828,easy
265,-5.2000,39,0,1,0.51513,0.144672,easy
266,-3.1500,103,0,1,0.51385,0.153257,easy
267,30.4000,119,1,0,0.51256,0.174480,easy
268,35.7500,87,1,0,0.51128,0.157340,easy
269,-2.0500,70,0,1,0.51000,0.147445,easy
270,28.8000,67,1,0,0.50873,0.156138,easy
271,26.6000,49,1,0,0.50745,0.315183,easy
272,35.0500,88,1,0,0.50619,0.192732,easy
273,29.2500,128,1,0,0.50492,0.184126,easy
274,27.5000,76,1,0,0.50366,0.184659,easy
275,29.1000,69,1,0,0.50240,0.183747,easy
276,30.6500,104,1,0,0.50114,0.173483,easy
277,-3.5500,44,0,1,0.49989,0.154450,easy
278,27.4000,61,1,0,0.49864,0.148885,easy
279,28.3500,76,1,0,0.49739,0.160090,easy
280,30.6500,82,1,0,0.49615,0.173164,easy
281,33.1500,129,1,0,0.49491,0.183196,easy
282,30.9500,126,1,0,0.49367,0.197003,easy
283,30.9000,91,1,0,0.49244,0.218063,easy
284,26.7000,66,1,0,0.49121,0.177110,easy
285,27.7000,166,1,0,0.48998,0.167354,easy
286,27.5500,56,1,0,0.48875,0.247600,easy
287,31.7500,86,1,0,0.48753,0.208137,easy
288,31.4000,143,1,0,0.48631,0.161161,easy
289,-2.6000,41,0,1,0.48510,0.193667,easy
290,28.5500,128,1,0,0.48389,0.199180,easy
291,26.3000,77,1,0,0.48268,0.196430,easy
292,28.2000,282,1,0,0.48147,0.210915,easy
293,32.6500,113,1,0,0.48027,0.172565,easy
294,30.9000,95,1,0,0.47906,0.159888,easy
295,31.8500,109,1,0,0.47787,0.168056,easy
296,28.0000,49,1,0,0.47667,0.161656,easy
297,24.7500,136,1,0,0.47548,0.137755,easy
298,25.4500,31,1,0,0.47429,0.144780,easy
299,-6.7500,8,0,1,0.47311,0.138421,easy
300,0.8500,54,0,1,0.47192,0.167375,easy
